route_id,agency_id,route_short_name,route_long_name,route_type
30000019,rapidpg,401,401,3
30000051,rapidpg,CAT,CAT,3
30000009,rapidpg,206,206,3
30000006,rapidpg,202,202,3
30000040,rapidpg,708,708,3
30000089,rapidpg,613,613,3
30000038,rapidpg,703,703,3
30000048,rapidpg,11,11,3
30000001,rapidpg,101,101,3
30000007,rapidpg,203,203,3
30000021,rapidpg,403,403,3
30000117,rapidpg,CT14,CT14,3
30000100,rapidpg,CT13,CT13,3
30000020,rapidpg,401E,401E,3
30000010,rapidpg,301,301,3
30000014,rapidpg,304,304,3
30000005,rapidpg,201,201,3
30000012,rapidpg,302,302,3
30000018,rapidpg,308,308,3
30000034,rapidpg,610,610,3
30000119,rapidpg,T310,T310,3
30000026,rapidpg,601,601,3
30000028,rapidpg,604,604,3
30000041,rapidpg,709,709,3
30000024,rapidpg,502,502,3
30000065,rapidpg,706,706,3
30000013,rapidpg,303,303,3
30000042,rapidpg,801,801,3
30000008,rapidpg,204,204,3
30000022,rapidpg,404,404,3
30000049,rapidpg,12,12,3
30000032,rapidpg,606,606,3
30000016,rapidpg,306,306,3
30000037,rapidpg,702,702,3
30000031,rapidpg,605,605,3
30000046,rapidpg,EB60,EB60,3
30000043,rapidpg,802,802,3
30000003,rapidpg,103,103,3
30000121,rapidpg,803,803,3
30000045,rapidpg,EB80,EB80,3
30000002,rapidpg,102,102,3
30000004,rapidpg,104,104,3
30000104,rapidpg,C13C,C13C,3
30000036,rapidpg,701,701,3
30000050,rapidpg,13,13,3
30000027,rapidpg,603,603,3
30000039,rapidpg,707,707,3
30000103,rapidpg,C13A,C13A,3
30000111,rapidpg,T502,T502,3
